Element,GPR,NN,RFR
Cs2AgAsBr6,1.752598512,2.32726,1.705166667
Cs2AgAsCl6,2.708370577,2.32726,2.32726
Cs2AgAsI6,1.042312633,2.32726,0.8667233333
Cs2AgInCl6,2.662413286,2.32726,2.304043333
Cs2AgSbBr6,1.752598512,2.32726,1.749623333
Cs2AgSbCl6,2.576407122,2.32726,2.24639
Cs2AgSbI6,1.013142358,2.32726,0.9533666667
Cs2CsGaBr6,4.580964754,2.32726,3.718396667
Cs2CsInCl6,5.404773423,2.32726,3.54254
Cs2CuAsBr6,1.517554387,2.32726,1.93033
Cs2CuAsCl6,2.341362997,2.32726,2.265056667
Cs2CuAsI6,0.778098352,2.32726,0.67121
Cs2CuBiBr6,1.502274736,2.32726,1.979726667
Cs2CuBiCl6,2.326083227,2.32726,2.42049
Cs2CuBiI6,0.7628185821,2.32726,0.8210866667
Cs2CuSbBr6,1.488384112,2.32726,1.970573333
Cs2CuSbCl6,2.312192603,2.32726,2.386543333
Cs2CuSbI6,0.7489277793,2.32726,0.8210866667
Cs2GeBr6,2.429808798,2.32726,1.694046667
Cs2GeCl6,3.253617587,2.32726,1.96123
Cs2HfBr6,3.991410152,2.32726,4.21563
Cs2HfCl6,4.918181888,2.32726,5.40048
Cs2HfI6,3.252123765,2.32726,3.32439
Cs2KInBr6,3.526344461,2.32726,3.602143333
Cs2KInCl6,4.453116317,2.32726,4.852203333
Cs2KSbCl6,4.367109959,2.32726,4.461063333
Cs2MnBr6,2.738999184,2.32726,1.76738
Cs2MnCl6,3.665771151,2.32726,2.422293333
Cs2MoBr6,1.162535386,2.32726,1.358426667
Cs2MoCl6,2.089307093,2.32726,1.761343333
Cs2MoI6,0.4232491185,2.32726,0.6334066667
Cs2NaInBr6,3.357712012,2.32726,3.251293333
Cs2NaInCl6,4.284483894,2.32726,4.369316667
Cs2NaSbBr6,3.271705673,2.32726,3.22676
Cs2NaSbCl6,4.198477521,2.32726,4.021803333
Cs2PbBr6,1.449862269,2.32726,1.221946667
Cs2PbCl6,2.376634243,2.32726,2.061233333
Cs2RbInCl6,4.944600962,2.32726,5.03981
Cs2SnCl6,3.154999032,2.32726,3.249523333
Cs2TeBr6,2.424567215,2.32726,2.497213333
Cs2TeCl6,3.351339092,2.32726,2.96599
Cs2TeI6,1.685281089,2.32726,1.53657
Cs2TiBr6,2.772402384,2.32726,3.499163333
Cs2TiCl6,3.699174322,2.32726,4.25525
Cs2TiI6,2.033116288,2.32726,2.723273333
Cs2VBr6,2.183908541,2.32726,2.080403333
Cs2VCl6,3.110680449,2.32726,3.081406667
Cs2VI6,1.444622296,2.32726,1.38578
Cs2WBr6,1.103655551,2.32726,1.255963333
Cs2WCl6,2.030427763,2.32726,1.599726667
Cs2WI6,0.3643695352,2.32726,0.84033
Cs2ZrBr6,3.319319836,2.32726,4.009546667
Cs2ZrCl6,4.246091713,2.32726,5.15245