Dopant,RFR,NN,GPR
Be_Cs,1.20408,3.61986208,0.0004581252405
Mg_Cs,0.97877,1.658584356,0.3812399557
Ca_Cs,0.55614,0.588769138,0.03674608341
Sr_Cs,0.192315,0.098641843,-0.09917130607
Ba_Cs,-0.00612,-0.017428549,-0.1015299363
Sc_Cs,0.91834,1.999981761,0.6469853389
Ti_Cs,0.923505,1.695225477,0.595162025
Mn_Cs,0.61976,0.802625597,0.2709711824
Y_Cs,0.785465,1.388161421,1.638600123
Zr_Cs,0.956115,1.324980974,1.10137982
Ag_Cs,0.3475,0.734170377,-0.0177820963
Au_Cs,0.663225,1.255870223,0.08637701163
Cu_Cs,0.536695,2.128384113,0.3507268634
Mo_Cs,0.94336,0.925879598,0.8964470513
Cd_Cs,0.335945,0.063003823,0.1919442806
Al_Cs,1.54601,2.601604939,1.576656612
Ga_Cs,0.85636,1.559936404,1.334540325
In_Cs,0.705,1.575353742,0.9256232263
Bi_Cs,0.4729,0.213350952,0.02500703247
Ge_Cs,0.69759,2.656729221,0.3579760961
As_Cs,1.005695,2.3211689,0.113190299
Sb_Cs,0.6776,1.949954152,0.4125569418
Be_Sn,1.58998,5.16004324,8.01E-05
Mg_Sn,1.01165,0.697283447,0.2851160705
Ca_Sn,0.3849,0.068279713,0.2868166693
Sr_Sn,0.33568,-0.016263897,-0.01448568151
Ba_Sn,0.22699,-0.080722831,-0.0008009232525
Sc_Sn,0.21456,0.055155102,0.05569196465
Ti_Sn,0.22899,0.105931468,0.09923294186
Mn_Sn,0.28168,0.038158305,0.2149764612
Y_Sn,0.074865,0.006652016,-0.1425457023
Zr_Sn,0.69321,0.899000585,0.8360021622
Ag_Sn,0.541315,-0.022231141,0.07373042756
Au_Sn,0.329015,0.028371071,0.2459380154
Al_Sn,2.00302,2.549724817,2.359895292
Ga_Sn,0.62725,0.211022183,0.2107894545
In_Sn,0.207235,2.453201294,2.198998044
Bi_Sn,0.882925,0.359034687,0.3514516396
Ge_Sn,1.37687,1.285139322,-0.0600503632
As_Sn,1.72882,1.976182818,1.840953226
Sb_Sn,1.02891,0.235091075,0.2861392112